Species	GoldStandard	n
A.thaliana	Complex	5658419
A.thaliana	Metabolic	1878342
A.thaliana	PPI	3330898
A.thaliana	Signaling	68768
B.subtilis	Complex	142069
B.subtilis	Metabolic	52812
B.subtilis	Operon	154642
B.subtilis	PPI	50
B.subtilis	Signaling	14202
B.taurus	Complex	9746500
B.taurus	Metabolic	881716
B.taurus	PPI	16
B.taurus	Signaling	1391836
C.elegans	Complex	893829
C.elegans	Metabolic	1220179
C.elegans	Operon	1336
C.elegans	PPI	3110813
C.elegans	Signaling	1155505
C.familiaris	Complex	11
C.familiaris	Metabolic	3735031
C.familiaris	PPI	3
C.familiaris	Signaling	1467966
C.intestinalis	Complex	28
C.intestinalis	Metabolic	601167
C.intestinalis	Signaling	389
D.melanogaster	Complex	1376867
D.melanogaster	Metabolic	329976
D.melanogaster	PPI	1232707
D.melanogaster	Signaling	143811
D.discoideum	Complex	84
D.discoideum	Metabolic	554524
D.discoideum	PPI	37
D.discoideum	Signaling	767684
D.rerio	Complex	4626131
D.rerio	Metabolic	1255387
D.rerio	PPI	13
D.rerio	Signaling	838708
E.coli	Complex	58972
E.coli	Metabolic	60665
E.coli	Operon	180965
E.coli	PPI	204354
E.coli	Regulatory	4711
E.coli	Signaling	14968
G.gallus	Complex	4419749
G.gallus	Metabolic	1126898
G.gallus	PPI	15
G.gallus	Signaling	33516
H.sapiens	Complex	1009716
H.sapiens	Metabolic	878502
H.sapiens	PPI	3984070
H.sapiens	Regulatory	2927425
H.sapiens	Signaling	1479977
M.jannaschii	Metabolic	37996
M.jannaschii	PPI	8
M.jannaschii	Signaling	71
M.musculus	Complex	3003842
M.musculus	Metabolic	288264
M.musculus	PPI	4668220
M.musculus	Regulatory	2477442
M.musculus	Signaling	1164055
M.tuberculosis	Complex	46
M.tuberculosis	Metabolic	120685
M.tuberculosis	PPI	38
M.tuberculosis	Signaling	1839
O.sativa	Complex	3
O.sativa	Metabolic	7770371
O.sativa	PPI	19
O.sativa	Signaling	399571
P.falciparum	Complex	224
P.falciparum	Metabolic	512951
P.falciparum	PPI	10
P.falciparum	Signaling	70
R.norvegicus	Complex	4736848
R.norvegicus	Metabolic	607365
R.norvegicus	PPI	3460511
R.norvegicus	Signaling	1625633
S.cerevisiae	Complex	477434
S.cerevisiae	Metabolic	121846
S.cerevisiae	PPI	220620
S.cerevisiae	Regulatory	208735
S.cerevisiae	Signaling	362922
S.pombe	Complex	205085
S.pombe	Metabolic	114843
S.pombe	PPI	185827
S.pombe	Signaling	155942
S.scrofa	Complex	2724810
S.scrofa	Metabolic	2522956
S.scrofa	PPI	5
S.scrofa	Signaling	341552
S.solfataricus	Complex	48
S.solfataricus	Metabolic	60362
S.solfataricus	PPI	5
S.solfataricus	Signaling	781
